PI, Points, Execution Time, Processors
3.141458, 123000000, 1.246768, 2
3.141532, 184500000, 1.245979, 3
3.141457, 246000000, 1.251239, 4
3.141517, 307500000, 1.277905, 5
3.141696, 369000000, 1.291504, 6
3.141531, 430500000, 1.309867, 7
3.141553, 492000000, 1.330484, 8
3.141571, 1230000000, 12.270744, 2
3.141579, 1845000000, 12.675179, 3
3.141554, 2460000000, 12.568532, 4
3.141579, 3075000000, 12.802514, 5
3.141573, 3690000000, 12.809717, 6
3.141587, 4305000000, 13.339734, 7
3.141585, 4920000000, 13.227948, 8
3.141599, 8540000000, 85.482376, 2
3.141581, 12810000000, 86.534583, 3
3.141593, 17080000000, 86.443740, 4
3.141585, 21350000000, 87.815289, 5
3.141590, 25620000000, 89.520543, 6
3.141606, 29890000000, 92.698577, 7
3.141587, 34160000000, 91.548273, 8
3.141113, 61500000, 0.984917, 1
3.141603, 615000000, 9.947683, 1
3.141619, 4270000000, 68.601261, 1
